student_id;weather_rain_walking;weather_rain_cycling;crowding_public_transport;physical_fatigue_cycling;number_of_transfers;waiting_time_uncertainty;seat_availability;noise_level;safety_perception;luggage_carrying
STU_0532;4;4;4;2;4;4;3;2;4;2
STU_0533;5;5;5;2;4;4;3;3;3;3
STU_0534;4;4;4;5;2;4;2;2;4;3
STU_0535;5;5;3;3;4;3;2;1;5;2
STU_0536;4;3;3;4;3;3;3;3;5;4
STU_0537;4;4;4;3;4;4;4;1;5;3
STU_0538;3;3;3;4;2;3;2;2;3;5
STU_0539;5;4;3;3;3;5;4;3;4;4
STU_0540;4;5;4;4;2;4;3;2;3;3
STU_0541;5;4;3;5;5;3;4;3;4;4
STU_0542;4;4;5;4;2;4;3;3;4;3
STU_0543;5;5;3;4;1;3;2;1;5;4
STU_0544;5;5;4;4;3;5;4;3;5;1
STU_0545;5;4;5;5;1;3;3;3;4;4
STU_0546;4;4;5;5;4;3;3;3;4;3
STU_0547;4;4;4;3;2;4;3;3;4;1
STU_0548;5;4;5;4;2;3;3;2;3;2
STU_0549;5;5;3;2;4;3;2;3;4;2
STU_0550;3;4;3;3;3;4;3;2;4;4
STU_0551;5;5;2;4;3;3;3;4;4;2
STU_0552;4;4;3;4;3;2;3;4;4;4
STU_0553;5;5;5;4;3;4;3;4;2;2
STU_0554;4;5;3;4;4;3;4;5;4;4
STU_0555;3;5;5;3;4;2;3;2;3;3
STU_0556;4;5;2;4;2;3;3;3;3;3
STU_0557;4;5;4;4;4;4;4;2;4;3
STU_0558;4;4;3;4;4;4;4;1;4;4
STU_0559;4;5;4;3;4;4;4;2;4;4
STU_0560;4;4;4;3;4;4;3;2;4;3
STU_0561;4;4;3;4;3;4;4;3;4;2
STU_0562;5;5;3;3;4;4;2;3;4;4
STU_0563;4;5;4;5;3;4;3;3;3;3
STU_0564;4;5;4;3;4;3;2;2;4;4
STU_0565;4;5;4;2;4;3;3;4;4;3
STU_0566;4;4;5;4;3;4;3;2;3;2
STU_0567;3;4;4;3;4;4;3;5;4;4
STU_0568;4;5;5;3;3;3;3;4;4;4
STU_0569;4;5;4;3;3;4;3;2;3;4
STU_0570;4;4;4;3;4;2;2;3;4;2
STU_0571;3;5;4;4;4;2;3;3;4;3
STU_0572;4;5;4;5;3;4;3;3;5;3
STU_0573;3;5;4;5;4;3;3;4;3;2
STU_0574;4;3;4;4;3;5;4;3;4;4
STU_0575;4;4;3;4;2;4;4;3;5;3
STU_0576;5;4;4;4;3;3;4;3;3;3
STU_0577;3;5;4;4;3;4;3;2;4;5
STU_0578;3;3;5;4;3;3;3;3;5;4
STU_0579;4;4;4;3;4;3;3;2;3;3
STU_0580;4;4;4;4;3;5;5;2;4;2
STU_0581;4;5;3;3;4;4;5;2;4;3
STU_0582;3;5;4;4;4;4;3;3;4;2
STU_0583;5;4;4;3;3;4;5;5;3;4
STU_0584;4;5;4;4;3;4;4;2;4;2
STU_0585;4;5;4;4;2;3;4;4;4;3
STU_0586;5;5;4;5;4;3;4;2;4;3
STU_0587;3;5;4;5;4;3;3;4;5;4
STU_0588;4;4;2;4;3;3;4;4;4;4
STU_0589;5;2;5;3;3;4;3;4;4;2
STU_0590;4;5;4;4;2;3;3;3;5;4
STU_0591;5;5;3;4;3;4;3;3;3;2
STU_0592;5;3;2;4;4;4;3;3;4;3
STU_0593;4;4;3;2;3;4;2;3;4;1
STU_0594;3;4;4;5;3;5;3;3;4;5
STU_0595;4;5;4;5;4;4;2;2;4;3
STU_0596;4;4;2;5;3;4;4;2;4;3
STU_0597;4;4;4;4;4;3;4;2;4;5
STU_0598;5;4;5;3;4;3;3;4;4;4
STU_0599;4;5;4;4;3;4;3;2;4;3
STU_0600;5;3;5;5;4;4;3;4;5;3
STU_0601;4;4;4;4;4;4;5;2;4;4
STU_0602;5;5;5;5;3;3;3;2;4;3
STU_0603;4;2;3;4;4;3;3;3;5;3
STU_0604;2;5;4;3;3;3;3;4;2;3
STU_0605;4;4;3;5;3;3;4;3;3;2
STU_0606;5;5;3;5;4;4;2;2;5;4
STU_0607;3;4;4;5;4;3;3;3;4;4
STU_0608;3;4;3;4;3;5;4;2;4;3
STU_0609;3;3;4;3;4;4;4;2;4;4
STU_0610;2;4;5;3;3;3;3;1;5;3
STU_0611;3;4;4;3;5;4;4;3;3;1
STU_0612;3;5;3;5;2;3;3;3;3;2
STU_0613;4;3;2;4;2;5;4;2;4;3
STU_0614;5;4;4;4;3;3;4;2;3;2
STU_0615;3;4;4;4;4;5;3;1;3;4
STU_0616;4;4;3;3;3;4;3;4;4;3
STU_0617;3;5;2;4;2;3;4;4;2;2
STU_0618;5;4;3;5;4;4;2;5;4;3
STU_0619;5;4;3;3;3;4;4;2;5;3
STU_0620;4;5;4;4;3;5;4;2;5;3
STU_0621;3;4;3;2;3;5;4;2;4;4
STU_0622;5;5;4;5;3;5;4;3;2;4
STU_0623;3;3;4;3;3;4;3;5;4;2
STU_0624;5;5;4;3;3;2;3;5;3;3
STU_0625;3;4;2;4;4;3;3;3;4;4
STU_0626;5;4;3;4;2;3;4;4;3;5
STU_0627;3;5;4;4;3;4;3;4;5;2
STU_0628;3;4;5;4;4;3;3;3;3;3
STU_0629;3;5;4;5;2;3;3;3;3;4
STU_0630;4;4;3;3;4;4;2;3;3;2
STU_0631;4;4;4;4;3;4;3;4;4;5
STU_0632;4;5;5;4;3;4;4;3;4;4
STU_0633;4;4;5;4;2;3;3;2;4;3
STU_0634;5;3;3;3;3;4;4;2;4;2
STU_0635;4;4;2;4;3;5;4;4;3;2
STU_0636;5;4;5;3;4;4;3;3;3;4
STU_0637;4;4;5;3;3;3;3;2;4;4
STU_0638;4;5;3;4;3;3;4;2;4;2
STU_0639;4;4;3;3;2;4;2;3;4;3
STU_0640;4;4;4;4;4;5;3;2;4;2
STU_0641;3;4;3;2;2;5;3;3;3;2
STU_0642;4;5;3;5;2;2;4;2;3;2
STU_0643;4;3;4;4;4;5;4;2;4;4
STU_0644;5;5;3;3;3;3;4;3;4;2
STU_0645;4;3;2;4;2;4;3;2;4;2
STU_0646;4;5;4;3;3;4;2;2;4;3
STU_0647;4;4;3;4;3;3;3;5;3;3
STU_0648;4;5;4;4;4;5;3;4;5;3
STU_0649;4;4;4;3;2;3;4;4;4;2
STU_0650;5;5;4;4;3;3;3;2;4;3
STU_0651;4;5;3;4;2;4;4;5;5;4
STU_0652;3;4;3;4;4;3;3;3;3;3
STU_0653;5;5;4;3;2;4;1;3;4;2
STU_0654;5;5;3;3;3;4;4;4;4;4
STU_0655;4;5;5;4;3;3;2;1;4;1
STU_0656;5;5;3;4;4;4;4;2;4;2
STU_0657;3;4;3;4;2;3;3;2;3;4
STU_0658;5;4;4;4;3;4;4;2;5;4
STU_0659;3;5;5;4;3;5;3;3;4;2
STU_0660;4;4;4;1;3;4;2;2;4;3
STU_0661;4;5;5;4;3;3;5;2;2;4
STU_0662;3;5;4;3;4;3;4;2;3;3
STU_0663;5;4;3;3;2;4;4;3;4;2
STU_0664;5;4;3;2;2;4;3;2;3;3
STU_0665;4;5;4;4;3;4;3;3;4;3
STU_0666;3;2;3;3;3;3;4;4;4;3
STU_0667;3;3;4;4;4;3;3;3;2;4
STU_0668;3;4;2;4;3;4;3;2;4;1
STU_0669;5;3;5;3;2;4;4;3;4;5
STU_0670;3;5;2;5;3;5;4;1;4;2
STU_0671;5;5;4;4;3;3;4;3;3;4
STU_0672;5;3;4;3;4;3;3;3;5;3
STU_0673;4;4;5;4;3;5;3;2;4;3
STU_0674;1;4;3;3;1;4;3;4;3;3
STU_0675;5;3;4;3;5;5;3;2;4;1
STU_0676;5;3;3;3;3;4;4;1;5;3
STU_0677;4;5;3;5;3;4;4;2;4;3
STU_0678;4;3;3;3;3;3;3;1;4;3
STU_0679;5;5;4;5;3;4;4;3;4;4
STU_0680;4;5;3;4;3;3;4;2;2;1
STU_0681;4;5;4;4;4;4;4;4;4;3
STU_0682;3;5;3;3;3;4;4;3;4;4
STU_0683;5;3;4;3;4;3;3;3;5;2
STU_0684;5;5;3;5;1;4;4;4;5;3
STU_0685;4;4;4;4;3;3;3;3;4;4
STU_0686;3;5;3;5;4;2;3;2;5;2
STU_0687;4;4;4;5;5;3;3;3;4;3
STU_0688;5;4;3;4;4;3;3;3;4;3
STU_0689;4;4;4;2;3;5;3;2;5;3
STU_0690;4;4;1;2;4;3;3;2;4;4
STU_0691;4;5;3;4;3;4;3;3;3;4
STU_0692;3;5;3;3;3;5;3;2;3;3
STU_0693;3;5;2;3;4;4;2;3;3;4
STU_0694;5;5;4;4;3;2;3;2;4;3
STU_0695;4;5;3;3;3;5;3;3;4;3
STU_0696;5;4;4;3;3;4;3;3;4;2
STU_0697;5;5;2;4;4;4;5;2;3;3
STU_0698;5;5;3;2;4;4;3;3;3;3
STU_0699;4;4;3;4;4;2;4;3;3;5
STU_0700;3;5;4;3;3;4;5;2;2;2
STU_0701;4;5;4;4;4;3;5;4;5;2
STU_0702;4;3;4;4;5;4;2;4;3;2
STU_0703;4;4;3;5;4;4;2;3;4;3
STU_0704;5;4;3;4;4;3;4;4;2;3
STU_0705;3;5;4;4;3;3;2;4;4;3
STU_0706;4;5;2;3;3;4;1;4;3;3
STU_0707;4;3;3;4;5;3;3;2;4;2
STU_0708;3;5;3;5;2;5;5;4;5;4
STU_0709;4;5;3;4;4;4;3;3;4;3
STU_0710;4;4;4;4;4;5;3;2;4;1
STU_0711;4;4;5;4;4;4;3;3;3;4
STU_0712;3;4;4;5;3;2;3;3;4;3
STU_0713;4;4;4;4;3;4;4;3;4;3
STU_0714;3;3;3;3;3;5;4;3;4;4
STU_0715;5;5;3;2;3;4;4;3;3;3
STU_0716;4;5;3;3;2;4;2;4;3;2
STU_0717;4;4;4;3;3;4;3;3;5;4
STU_0718;4;5;3;3;4;4;5;4;4;3
STU_0719;4;5;4;3;3;4;2;3;4;4
STU_0720;4;3;3;4;4;4;2;2;3;4
STU_0721;4;5;5;4;3;4;4;4;4;5
STU_0722;4;5;4;3;1;3;4;3;4;4
STU_0723;3;4;3;3;3;3;2;2;4;5
STU_0724;3;5;4;4;3;2;2;3;4;2
STU_0725;4;5;2;3;4;4;5;2;5;2
STU_0726;5;4;4;4;4;3;4;3;5;3
STU_0727;3;3;3;3;3;3;4;3;5;3
STU_0728;3;4;5;5;4;4;3;4;5;4
STU_0729;4;3;4;5;4;4;3;4;5;1
STU_0730;5;4;4;3;3;3;3;3;3;3
STU_0731;4;5;3;4;2;5;4;3;4;2
STU_0732;3;4;4;3;3;5;4;1;5;5
STU_0733;4;4;2;3;3;3;3;3;4;4
STU_0734;4;5;4;4;3;4;4;1;3;3
STU_0735;3;4;3;3;2;3;4;3;4;3
STU_0736;4;4;4;3;3;3;4;2;5;3
STU_0737;3;5;4;3;4;3;2;4;3;4
STU_0738;5;4;5;4;3;3;3;1;4;4
STU_0739;3;4;2;3;4;3;3;2;5;2
STU_0740;4;3;3;3;3;5;3;4;5;3
STU_0741;5;4;2;4;3;5;3;3;3;4
STU_0742;5;3;5;5;4;5;4;3;5;2
STU_0743;3;4;4;3;2;3;3;3;4;2
STU_0744;4;5;3;4;3;4;4;3;3;2
STU_0745;5;5;4;4;4;4;2;3;5;3
STU_0746;3;5;5;3;4;4;3;3;4;4
STU_0747;5;4;4;3;2;2;4;1;4;2
STU_0748;2;5;2;5;4;4;2;3;5;4
STU_0749;5;5;2;5;5;3;3;4;5;2
